ID,Sire,Dam,Sex,Cand
B0Aa0500,0,0,Male,0
B0Aa0600,0,0,Male,0
B0Aa0700,0,0,Male,0
B0Aa1200,0,0,Male,0
B0Ab0300,0,0,Male,0
B0Ab0400,0,0,Male,0
B0Ab0700,0,0,Male,0
B0Ab0800,0,0,Male,0
B0Ab1000,0,0,Male,0
B0Ab1200,0,0,Male,0
B0Ac0100,0,0,Male,0
B0Ac0200,0,0,Male,0
B0Ac0500,0,0,Male,0
B0Ba0100,0,0,Male,0
B0Ba0400,0,0,Male,0
B0Ba0600,0,0,Male,0
B0Ba0800,0,0,Male,0
B0Ba0900,0,0,Male,0
B0Ba1600,0,0,Male,0
B0Bb0300,0,0,Male,0
B0Bb0500,0,0,Male,0
B0Bb0900,0,0,Male,0
B0Bb1100,0,0,Male,0
B0Bc0100,0,0,Male,0
B0Bc0300,0,0,Male,0
B0Ca0400,0,0,Male,0
B0Ca0500,0,0,Male,0
B0Ca0800,0,0,Male,0
B0Cb0300,0,0,Male,0
B0Cb0800,0,0,Male,0
B0Aa0501,0,0,Female,0
B0Aa0601,0,0,Female,0
B0Aa0603,0,0,Female,0
B0Aa0701,0,0,Female,0
B0Aa1201,0,0,Female,0
B0Ab0302,0,0,Female,0
B0Ab0402,0,0,Female,0
B0Ab0403,0,0,Female,0
B0Ab0702,0,0,Female,0
B0Ab0703,0,0,Female,0
B0Ab0801,0,0,Female,0
B0Ab1003,0,0,Female,0
B0Ab1202,0,0,Female,0
B0Ac0101,0,0,Female,0
B0Ac0202,0,0,Female,0
B0Ac0501,0,0,Female,0
B0Ba0101,0,0,Female,0
B0Ba0402,0,0,Female,0
B0Ba0602,0,0,Female,0
B0Ba0801,0,0,Female,0
B0Ba0902,0,0,Female,0
B0Ba1602,0,0,Female,0
B0Bb0302,0,0,Female,0
B0Bb0503,0,0,Female,0
B0Bb0903,0,0,Female,0
B0Bb1102,0,0,Female,0
B0Bc0102,0,0,Female,0
B0Bc0303,0,0,Female,0
B0Ca0402,0,0,Female,0
B0Ca0501,0,0,Female,0
B0Ca0802,0,0,Female,0
B0Cb0302,0,0,Female,0
B0Cb0802,0,0,Female,0
MPJ00M06,0,0,Male,0
MPJ00M19,0,0,Male,0
MPJ00M16,0,0,Male,0
MPJ00M14,0,0,Male,0
MPJ00M07,0,0,Male,0
MPJ00M13,0,0,Male,0
MPJ00M15,0,0,Male,0
MPJ00M21,0,0,Male,0
MPJ00F06,0,0,Female,0
MPJ00F19,0,0,Female,0
MPJ00F16,0,0,Female,0
MPJ00F14,0,0,Female,0
MPJ00F07,0,0,Female,0
MPJ00F13,0,0,Female,0
MPJ00F15,0,0,Female,0
MPJ00F21,0,0,Female,0
J000M251,B0Aa0500,B0Aa0501,Male,0
J000M241,B0Aa0600,B0Aa0601,Male,0
J000D241,B0Aa0600,B0Aa0601,Female,0
J000F411,B0Aa0600,B0Aa0603,Female,0
J000F381,B0Aa0700,B0Aa0701,Female,0
J000M211,B0Aa1200,B0Aa1201,Male,0
J000M212,B0Aa1200,B0Aa1201,Male,0
J000B211,B0Aa1200,B0Aa1201,Female,0
J000F213,B0Aa1200,B0Aa1201,Female,0
J000B311,B0Ab0300,B0Ab0302,Female,0
J000M441,B0Ab0400,B0Ab0402,Male,0
J000M271,B0Ab0400,B0Ab0403,Male,0
J000M321,B0Ab0700,B0Ab0702,Male,0
J000M181,B0Ab0700,B0Ab0703,Male,0
J000M161,B0Ab0800,B0Ab0801,Male,0
J000M231,B0Ab1000,B0Ab1003,Male,0
J000M171,B0Ab1200,B0Ab1202,Male,0
J000F171,B0Ab1200,B0Ab1202,Female,0
J000F173,B0Ab1200,B0Ab1202,Female,0
J000F202,B0Ac0100,B0Ac0101,Female,0
J000B021,B0Ac0200,B0Ac0202,Female,0
J000F121,B0Ac0500,B0Ac0501,Female,0
J000F122,B0Ac0500,B0Ac0501,Female,0
J000M332,B0Ba0100,B0Ba0101,Male,0
J000F336,B0Ba0100,B0Ba0101,Female,0
J000F431,B0Ba0400,B0Ba0402,Female,0
J000F192,B0Ba0600,B0Ba0602,Female,0
J000F194,B0Ba0600,B0Ba0602,Female,0
J000F366,B0Ba0800,B0Ba0801,Female,0
J000F282,B0Ba0900,B0Ba0902,Female,0
J000F285,B0Ba0900,B0Ba0902,Female,0
J000F286,B0Ba0900,B0Ba0902,Female,0
J000M221,B0Ba1600,B0Ba1602,Male,0
J000F301,B0Bb0300,B0Bb0302,Female,0
J000F303,B0Bb0300,B0Bb0302,Female,0
J000F305,B0Bb0300,B0Bb0302,Female,0
J000M011,B0Bb0500,B0Bb0503,Male,0
J000M012,B0Bb0500,B0Bb0503,Male,0
J000B015,B0Bb0500,B0Bb0503,Female,0
J000M341,B0Bb0900,B0Bb0903,Male,0
J000M061,B0Bb1100,B0Bb1102,Male,0
J000M062,B0Bb1100,B0Bb1102,Male,0
J000B521,B0Bc0100,B0Bc0102,Female,0
J000F525,B0Bc0100,B0Bc0102,Female,0
J000M401,B0Bc0300,B0Bc0303,Male,0
J000F402,B0Bc0300,B0Bc0303,Female,0
J000F403,B0Bc0300,B0Bc0303,Female,0
J000M461,B0Ca0400,B0Ca0402,Male,0
J000F464,B0Ca0400,B0Ca0402,Female,0
J000F514,B0Ca0500,B0Ca0501,Female,0
J000M092,B0Ca0800,B0Ca0802,Male,0
J000F355,B0Cb0300,B0Cb0302,Female,0
J000M481,B0Cb0800,B0Cb0802,Male,0
J000F482,B0Cb0800,B0Cb0802,Female,0
J600B006,MPJ00M06,MPJ00F06,Female,0
J600C608,MPJ00M14,MPJ00F14,Female,0
J600C939,MPJ00M16,MPJ00F16,Female,0
J600F837,MPJ00M19,MPJ00F19,Female,0
J600J244,MPJ00M19,MPJ00F19,Male,0
J600H396,MPJ00M14,MPJ00F14,Female,0
J600I679,MPJ00M07,MPJ00F07,Male,0
J600J395,MPJ00M14,MPJ00F14,Male,0
J600J398,MPJ00M06,MPJ00F06,Male,0
J600K011,MPJ00M15,MPJ00F15,Female,0
J600K120,MPJ00M15,MPJ00F15,Female,0
J600K498,MPJ00M13,MPJ00F13,Female,0
J600A487,MPJ00M21,MPJ00F21,Male,0
J100C442,J000M011,J000F213,Male,0
J100C374,J000M012,J000D241,Male,0
J100C393,J000M012,J000D241,Female,0
J100C172,J000M061,J000F202,Female,0
J100C764,J000M062,J000B021,Male,0
J100B012,J000M092,J000B211,Male,0
J100A970,J000M092,J000B211,Female,0
J100C584,J000M092,J000B521,Male,0
J100B512,J000M092,J000B521,Female,0
J100B521,J000M092,J000B521,Female,0
J100B487,J000M161,J000F194,Male,0
J100B203,J000M161,J000F194,Female,0
J100B204,J000M161,J000F194,Female,0
J100B552,J000M161,J000F381,Male,0
J100B398,J000M161,J000F381,Female,0
J100B551,J000M161,J000F381,Female,0
J100D266,J000M171,J000F366,Female,0
J100B043,J000M171,J000F525,Male,0
J100B040,J000M171,J000F525,Female,0
J100C067,J000M181,J000F286,Male,0
J100C032,J000M181,J000F286,Female,0
J100C062,J000M181,J000F286,Female,0
J100B902,J000M211,J000F121,Female,0
J100B829,J000M212,J000B015,Male,0
J100B983,J000M212,J000B015,Female,0
J100C008,J000M212,J000B015,Female,0
J100C415,J000M212,J000B311,Male,0
J100C360,J000M212,J000B311,Female,0
J100C371,J000M212,J000B311,Female,0
J100A090,J000M221,J000F411,Male,0
J100A049,J000M221,J000F411,Female,0
J100B777,J000M231,J000F464,Male,0
J100B749,J000M231,J000F464,Female,0
J100C612,J000M241,J000F431,Male,0
J100A586,J000M241,J000F431,Female,0
J100A587,J000M241,J000F431,Female,0
J100A588,J000M241,J000F431,Female,0
J100C693,J000M241,J000F482,Male,0
J100B947,J000M241,J000F482,Female,0
J100B956,J000M241,J000F482,Female,0
J100C573,J000M251,J000F301,Male,0
J100A130,J000M251,J000F301,Female,0
J100B215,J000M251,J000F402,Male,0
J100C730,J000M271,J000F305,Male,0
J100A233,J000M271,J000F336,Male,0
J100A042,J000M271,J000F336,Female,0
J100C841,J000M271,J000F336,Female,0
J100A703,J000M321,J000F303,Male,0
J100A672,J000M321,J000F303,Female,0
J100C114,J000M332,J000F514,Male,0
J100B161,J000M341,J000F122,Female,0
J100B613,J000M341,J000F171,Male,0
J100B624,J000M341,J000F171,Female,0
J100B461,J000M401,J000F285,Male,0
J100B420,J000M401,J000F285,Female,0
J100B422,J000M401,J000F285,Female,0
J100B445,J000M401,J000F285,Female,0
J100C565,J000M441,J000F192,Male,0
J100A886,J000M441,J000F192,Female,0
J100B770,J000M441,J000F355,Male,0
J100B816,J000M441,J000F355,Female,0
J100C547,J000M441,J000F403,Male,0
J100C940,J000M441,J000F403,Female,0
J100D108,J000M441,J000F403,Female,0
J100A634,J000M461,J000F282,Male,0
J100A620,J000M461,J000F282,Female,0
J100A623,J000M461,J000F282,Female,0
J100B359,J000M481,J000F173,Female,0
J700O333,J600J244,J600C608,Female,0
J700O388,J600J244,J600C608,Male,0
J700O608,J600A487,J600H396,Female,0
J700O732,J600A487,J600F837,Female,0
J700O799,J600A487,J600F837,Female,0
J700O838,J600A487,J600C939,Male,0
J700O895,J600A487,J600C939,Female,0
J700P004,J600J398,J600K498,Male,0
J700P208,J600J395,J600B006,Female,0
J700P365,J600I679,J600K120,Male,0
J700P487,J600I679,J600K011,Male,0
J700P527,J600I679,J600K011,Female,0
J700P588,J600I679,J600K011,Female,0
J200M191,J100A090,J100C032,Male,0
J200J703,J100A233,J100A587,Female,0
J200I834,J100A233,J100A587,Female,0
J200M257,J100A233,J100A587,Female,0
J200A406,J100A233,J100B359,Female,0
J200T047,J100A634,J100A970,Male,0
J200K927,J100A703,J100B040,Male,0
J200A106,J100A703,J100B040,Female,0
J200I912,J100A703,J100B040,Female,0
J200L879,J100A703,J100B398,Male,0
J200T103,J100B012,J100A042,Male,0
J200I685,J100B012,J100A042,Female,0
J200L416,J100B012,J100B420,Male,0
J200K070,J100B043,J100A886,Male,0
J200E919,J100B043,J100A886,Female,0
J200L469,J100B215,J100B512,Male,0
J200C678,J100B215,J100B512,Female,0
J200T126,J100B461,J100A672,Male,0
J200E190,J100B461,J100B749,Female,0
J200J568,J100B461,J100B749,Female,0
J200K525,J100B461,J100C841,Male,0
J200L966,J100B461,J100C841,Female,0
J200K432,J100B487,J100B521,Male,0
J200A123,J100B487,J100B521,Female,0
J200E094,J100B487,J100B521,Female,0
J200J193,J100B487,J100B521,Female,0
J200K845,J100B552,J100B902,Male,0
J200J789,J100B552,J100B902,Female,0
J200K879,J100B613,J100C172,Male,0
J200H166,J100B613,J100C172,Female,0
J200K107,J100B613,J100C172,Female,0
J200I958,J100B613,J100C371,Female,0
J200L414,J100B770,J100A588,Male,0
J200F152,J100B770,J100A588,Female,0
J200K137,J100B770,J100B983,Male,0
J200K166,J100B770,J100C062,Male,0
J200A276,J100B770,J100C062,Female,0
J200T001,J100B777,J100C360,Male,0
J200D095,J100B777,J100C360,Female,0
J200F066,J100B777,J100C360,Female,0
J200K491,J100B829,J100A620,Male,0
J200I504,J100B829,J100A620,Female,0
J200T112,J100C067,J100B947,Male,0
J200J865,J100C067,J100B947,Female,0
J200K508,J100C114,J100B161,Male,0
J200J697,J100C374,J100A130,Female,0
J200K060,J100C374,J100B203,Male,0
J200J551,J100C374,J100B203,Female,0
J200K111,J100C415,J100A049,Male,0
J200K967,J100C415,J100B816,Male,0
J200F736,J100C415,J100B816,Female,0
J200I451,J100C415,J100B816,Female,0
J200L426,J100C415,J100D108,Male,0
J200I822,J100C415,J100D108,Female,0
J200K375,J100C415,J100D108,Female,0
J200T100,J100C442,J100B624,Male,0
J200T105,J100C547,J100A623,Male,0
J200C299,J100C547,J100A623,Female,0
J200I969,J100C547,J100B204,Female,0
J200J404,J100C547,J100B204,Female,0
J200T121,J100C565,J100B956,Male,0
J200E404,J100C565,J100B956,Female,0
J200H552,J100C565,J100B956,Female,0
J200F028,J100C573,J100B551,Female,0
J200I878,J100C573,J100B551,Female,0
J200K230,J100C584,J100C393,Male,0
J200C167,J100C584,J100C393,Female,0
J200C348,J100C584,J100C393,Female,0
J200K881,J100C612,J100D266,Male,0
J200A159,J100C612,J100D266,Female,0
J200E492,J100C693,J100C008,Female,0
J200C910,J100C730,J100B422,Female,0
J200F319,J100C730,J100B422,Female,0
J200K093,J100C730,J100B445,Male,0
J200I267,J100C730,J100B445,Female,0
J200L295,J100C764,J100A586,Male,0
J200L290,J100C764,J100C940,Male,0
J800B940,J700P365,J700O799,Male,0
J800B967,J700P365,J700O799,Female,0
J800C035,J700P365,J700O333,Male,0
J800C038,J700P365,J700O333,Male,0
J800C119,J700O838,J700P208,Female,0
J800C205,J700O838,J700P527,Female,0
J800C210,J700O838,J700P527,Female,0
J800C310,J700O388,J700P588,Male,0
J800C324,J700O388,J700P588,Female,0
J800C327,J700O388,J700P588,Female,0
J800C738,J700P487,J700O608,Male,0
J800C750,J700P487,J700O608,Female,0
J800C836,J700P487,J700O895,Male,0
J800C840,J700P487,J700O895,Male,0
J800C863,J700P487,J700O895,Female,0
J800D162,J700P004,J700O732,Male,0
J800D166,J700P004,J700O732,Female,0
J300K420,J200K060,J200A406,Male,0
J300K058,J200K060,J200I451,Male,0
J300F798,J200K070,J200F319,Female,0
J300I705,J200K070,J200F319,Female,0
J300I126,J200K093,J200K107,Female,0
J300N563,J200K111,J200C678,Male,0
J300C829,J200K111,J200C678,Female,0
J300K090,J200K111,J200J703,Male,0
J300A905,J200K111,J200J703,Female,0
J300N195,J200K137,J200E094,Male,0
J300D603,J200K137,J200E094,Female,0
J300N595,J200K166,J200I834,Male,0
J300A211,J200K166,J200I834,Female,0
J300K172,J200K230,J200F736,Male,0
J300F672,J200K230,J200I969,Male,0
J300F964,J200K230,J200I969,Female,0
J300T051,J200K432,J200F152,Male,0
J300J433,J200K432,J200F152,Female,0
J300L007,J200K432,J200F152,Female,0
J300K081,J200K491,J200A159,Male,0
J300L455,J200K491,J200J404,Female,0
J300B441,J200K508,J200A276,Female,0
